JE1	Jeep	40	40	14	0.7	0.6	0.64	70	30	19	100	87	74	46	30	3
JE2	Jeep	40	40	15	0.59	0.35	0.73	59	18	22	100	78	54	54	25	3
JE3	Jeep	40	40	12	0.98	0.64	0.78	98	32	23	100	96	57	47	27	2
JE4	Jeep	40	40	13	1	0.76	0.7	100	38	21	100	86	58	46	37	3
JE5	Jeep	40	40	16	0.8	0.45	0.75	80	23	23	100	78	68	38	25	3
JE6	Jeep	40	40	16	0.93	0.85	0.93	93	43	28	100	84	72	51	31	3
UAV1	UAV	0	100	70	0.9	0.86	1	90	43	30	100	100	100	100	102	14
UAV2	UAV	0	100	75	0.95	1	1	95	50	30	100	100	100	100	86	15
HE1	Helicopter	80	70	67	0.67	0.75	0.68	67	38	20	100	87	100	74	120	13
HE2	Helicopter	80	70	56	0.87	0.6	0.85	87	30	26	100	87	100	78	116	11
AP1	AirPlane	100	80	80	0.62	0.63	0.74	62	32	22	100	87	100	86	170	16
